id,week_date,scraped_at,provider,token_count,token_share_pct
1,2026-03-30,2026-04-03T17:37:48.348205,labs,4790000000000,24.0958
2,2026-03-30,2026-04-03T17:37:48.348205,xiaomi,4790000000000,24.0958
7,2026-03-30,2026-04-03T17:37:48.348205,anthropic,2030000000000,10.2118
3,2026-03-30,2026-04-03T17:37:48.348205,qwen,1640000000000,8.2499
4,2026-03-30,2026-04-03T17:37:48.348205,stepfun,1380000000000,6.942
5,2026-03-30,2026-04-03T17:37:48.348205,minimax,1340000000000,6.7408
6,2026-03-30,2026-04-03T17:37:48.348205,deepseek,1210000000000,6.0868
8,2026-03-30,2026-04-03T17:37:48.348205,google,979000000000,4.9248
9,2026-03-30,2026-04-03T17:37:48.348205,z-ai,900000000000,4.5274
10,2026-03-30,2026-04-03T17:37:48.348205,x-ai,820000000000,4.125
