id,week_date,scraped_at,rank,model_id,model_name,provider,token_count,is_open_source,is_chinese
56,2026-03-30,2026-04-03T17:08:02.152780,1,labs/fusion,Fusion,labs,4790000000000,1,0
57,2026-03-30,2026-04-03T17:08:02.152780,2,xiaomi/mimo-v2-pro-20260318,Mimo V2 Pro,xiaomi,4790000000000,1,1
58,2026-03-30,2026-04-03T17:08:02.152780,3,qwen/qwen3.6-plus-preview:free,Qwen3.6 Plus Preview (free),qwen,1640000000000,1,1
59,2026-03-30,2026-04-03T17:08:02.152780,4,stepfun/step-3.5-flash:free,Step 3.5 Flash (free),stepfun,1380000000000,1,1
60,2026-03-30,2026-04-03T17:08:02.152780,5,minimax/minimax-m2.7-20260318,Minimax M2.7,minimax,1340000000000,1,1
61,2026-03-30,2026-04-03T17:08:02.152780,6,deepseek/deepseek-v3.2-20251201,Deepseek V3.2,deepseek,1210000000000,1,1
62,2026-03-30,2026-04-03T17:08:02.152780,7,anthropic/claude-4.6-opus-20260205,Claude Opus 4.6,anthropic,1020000000000,0,0
63,2026-03-30,2026-04-03T17:08:02.152780,8,anthropic/claude-4.6-sonnet-20260217,Claude Sonnet 4.6,anthropic,1010000000000,0,0
64,2026-03-30,2026-04-03T17:08:02.152780,9,google/gemini-3-flash-preview-20251217,Gemini 3 Flash Preview,google,979000000000,0,0
65,2026-03-30,2026-04-03T17:08:02.152780,10,z-ai/glm-5-turbo-20260315,GLM 5 Turbo,z-ai,900000000000,1,0
66,2026-03-30,2026-04-03T17:08:02.152780,11,x-ai/grok-4.1-fast,Grok 4.1 Fast,x-ai,820000000000,0,0
